Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,IncomeLoanRatio,Loan_Amount_Term_Years,Good_Credit_History,Log_TotalIncome,Log_LoanAmount,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
0,0.07299082285068836,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,1.0,Y,-0.18218375972648307,-0.14385026862250275,0.2732312961117546,1,0.008425825191001515,-0.012803201343461017,True,False,False,False,False,True
1,-0.13441195378345122,-0.03873154846446157,-0.21124124943736647,0.2732312961117544,1.0,N,-0.144684160081343,-0.0929737325917321,0.2732312961117546,1,0.08285991649734786,-0.012803201343461017,True,True,False,False,False,False
0,-0.3937473372051281,-0.5544873301529852,-0.9489964681145835,0.2732312961117544,1.0,Y,-0.6236563191851775,-0.15917222035793221,0.2732312961117546,1,-1.2172986730963478,-1.3486627152890505,True,True,False,True,False,True
0,-0.4620624697931504,0.2519796016915365,-0.3064354712021687,0.2732312961117544,1.0,Y,-0.32288473690742187,-0.26606376306975393,0.2732312961117546,1,-0.3013061075073324,-0.14335063876429482,True,True,True,False,False,True
0,0.09772843680942066,-0.5544873301529852,-0.05655063906956289,0.2732312961117544,1.0,Y,-0.15878524920410228,-0.22758543114224228,0.2732312961117546,1,0.05522299468401092,0.1829809757655036,True,False,False,False,False,True
2,0.0022183113925933404,0.8805997122641535,1.4427583537260718,0.2732312961117544,1.0,Y,0.40107447607643937,-0.4007235896098593,0.2732312961117546,1,0.9206616235116626,1.4781401899444353,True,True,False,True,False,True
0,-0.5030187842943628,-0.03599544352181688,-0.6039174142171756,0.2732312961117544,1.0,Y,-0.49209780638053324,-0.286158719934812,0.2732312961117546,1,-0.7598251647902352,-0.6152864248387256,True,True,True,False,False,True
3,-0.38784962791695354,0.30191351689480206,0.1457370821806418,0.2732312961117544,0.0,N,-0.23006547993453383,-0.42856609013198543,0.2732312961117546,0,-0.09122417882296666,0.41355740303033994,True,True,False,False,True,False
2,-0.22893912765224944,-0.03257531234351103,0.26472985938664456,0.2732312961117544,1.0,Y,-0.23130513612115003,-0.48576352984958965,0.2732312961117546,1,-0.09387731582271075,0.537931757097833,True,True,False,False,False,True
1,1.2184570268205968,3.196712546212882,2.4184991268152944,0.2732312961117544,1.0,N,2.6008443792268876,0.4713599774768081,0.2732312961117546,1,2.5859770119191405,2.0224720730497836,True,True,False,False,True,False
